Key,Longitude,Latitude
0,-179.75,-90.0
1,-160.623,-90.0
2,-141.496,-90.0
3,-122.369,-90.0
4,-103.242,-90.0
5,-84.1145,-90.0
6,-64.9874,-90.0
7,-45.8603,-90.0
8,-26.7332,-90.0
9,-7.6061,-90.0
10,11.521,-90.0
11,30.6481,-90.0
12,49.7752,-90.0
13,68.9023,-90.0
14,88.0294,-90.0
15,107.156,-90.0
16,126.284,-90.0
17,145.411,-90.0
18,164.538,-90.0
19,183.665,-90.0
20,-179.75,-88.2019
21,-160.623,-88.2019
22,-141.496,-88.2019
23,-122.369,-88.2019
24,-103.242,-88.2019
25,-84.1145,-88.2019
26,-64.9874,-88.2019
27,-45.8603,-88.2019
28,-26.7332,-88.2019
29,-7.6061,-88.2019
30,11.521,-88.2019
31,30.6481,-88.2019
32,49.7752,-88.2019
33,68.9023,-88.2019
34,88.0294,-88.2019
35,107.156,-88.2019
36,126.284,-88.2019
37,145.411,-88.2019
38,164.538,-88.2019
39,183.665,-88.2019
40,-179.75,-86.4037
41,-160.623,-86.4037
42,-141.496,-86.4037
43,-122.369,-86.4037
44,-103.242,-86.4037
45,-84.1145,-86.4037
46,-64.9874,-86.4037
47,-45.8603,-86.4037
48,-26.7332,-86.4037
49,-7.6061,-86.4037
50,11.521,-86.4037
51,30.6481,-86.4037
52,49.7752,-86.4037
53,68.9023,-86.4037
54,88.0294,-86.4037
55,107.156,-86.4037
56,126.284,-86.4037
57,145.411,-86.4037
58,164.538,-86.4037
59,183.665,-86.4037
60,-179.75,-84.6056
61,-160.623,-84.6056
62,-141.496,-84.6056
63,-122.369,-84.6056
64,-103.242,-84.6056
65,-84.1146,-84.6056
66,-64.9875,-84.6056
67,-45.8604,-84.6056
68,-26.7334,-84.6056
69,-7.60629,-84.6056
70,11.5208,-84.6056
71,30.6479,-84.6056
72,49.7749,-84.6056
73,68.902,-84.6056
74,88.0291,-84.6056
75,107.156,-84.6056
76,126.283,-84.6056
77,145.41,-84.6056
78,164.537,-84.6056
79,183.664,-84.6056
80,-179.75,-82.8075
81,-165.388,-82.8075
82,-151.026,-82.8075
83,-136.665,-82.8075
84,-122.303,-82.8075
85,-107.941,-82.8075
86,-93.5791,-82.8075
87,-79.2173,-82.8075
88,-64.8555,-82.8075
89,-50.4937,-82.8075
90,-36.1319,-82.8075
91,-21.77,-82.8075
92,-7.40822,-82.8075
93,6.95359,-82.8075
94,21.3154,-82.8075
95,35.6772,-82.8075
96,50.039,-82.8075
97,64.4008,-82.8075
98,78.7627,-82.8075
99,93.1245,-82.8075
100,107.486,-82.8075
101,121.848,-82.8075
102,136.21,-82.8075
103,150.572,-82.8075
104,164.934,-82.8075
105,179.295,-82.8075
106,193.657,-82.8075
107,-179.75,-81.0093
108,-168.244,-81.0093
109,-156.737,-81.0093
110,-145.231,-81.0093
111,-133.724,-81.0093
112,-122.218,-81.0093
113,-110.711,-81.0093
114,-99.2048,-81.0093
115,-87.6983,-81.0093
116,-76.1919,-81.0093
117,-64.6854,-81.0093
118,-53.1789,-81.0093
119,-41.6725,-81.0093
120,-30.166,-81.0093
121,-18.6596,-81.0093
122,-7.1531,-81.0093
123,4.35336,-81.0093
124,15.8598,-81.0093
125,27.3663,-81.0093
126,38.8727,-81.0093
127,50.3792,-81.0093
128,61.8857,-81.0093
129,73.3921,-81.0093
130,84.8986,-81.0093
131,96.405,-81.0093
132,107.912,-81.0093
133,119.418,-81.0093
134,130.924,-81.0093
135,142.431,-81.0093
136,153.937,-81.0093
137,165.444,-81.0093
138,176.95,-81.0093
139,188.457,-81.0093
140,-179.75,-79.2112
141,-170.144,-79.2112
142,-160.538,-79.2112
143,-150.932,-79.2112
144,-141.326,-79.2112
145,-131.72,-79.2112
146,-122.114,-79.2112
147,-112.507,-79.2112
148,-102.901,-79.2112
149,-93.2953,-79.2112
150,-83.6892,-79.2112
151,-74.0831,-79.2112
152,-64.477,-79.2112
153,-54.871,-79.2112
154,-45.2649,-79.2112
155,-35.6588,-79.2112
156,-26.0527,-79.2112
157,-16.4466,-79.2112
158,-6.84056,-79.2112
159,2.76552,-79.2112
160,12.3716,-79.2112
161,21.9777,-79.2112
162,31.5838,-79.2112
163,41.1898,-79.2112
164,50.7959,-79.2112
165,60.402,-79.2112
166,70.0081,-79.2112
167,79.6142,-79.2112
168,89.2202,-79.2112
169,98.8263,-79.2112
170,108.432,-79.2112
171,118.038,-79.2112
172,127.645,-79.2112
173,137.251,-79.2112
174,146.857,-79.2112
175,156.463,-79.2112
176,166.069,-79.2112
177,175.675,-79.2112
178,185.281,-79.2112
179,-179.75,-77.413
180,-171.499,-77.413
181,-163.247,-77.413
182,-154.996,-77.413
183,-146.744,-77.413
184,-138.493,-77.413
185,-130.241,-77.413
186,-121.99,-77.413
187,-113.739,-77.413
188,-105.487,-77.413
189,-97.2358,-77.413
190,-88.9844,-77.413
191,-80.733,-77.413
192,-72.4815,-77.413
193,-64.2301,-77.413
194,-55.9787,-77.413
195,-47.7273,-77.413
196,-39.4759,-77.413
197,-31.2244,-77.413
198,-22.973,-77.413
199,-14.7216,-77.413
200,-6.47017,-77.413
201,1.78125,-77.413
202,10.0327,-77.413
203,18.2841,-77.413
204,26.5355,-77.413
205,34.7869,-77.413
206,43.0384,-77.413
207,51.2898,-77.413
208,59.5412,-77.413
209,67.7926,-77.413
210,76.044,-77.413
211,84.2955,-77.413
212,92.5469,-77.413
213,100.798,-77.413
214,109.05,-77.413
215,117.301,-77.413
216,125.553,-77.413
217,133.804,-77.413
218,142.055,-77.413
219,150.307,-77.413
220,158.558,-77.413
221,166.81,-77.413
222,175.061,-77.413
223,183.313,-77.413
224,-179.75,-75.6149
225,-172.512,-75.6149
226,-165.274,-75.6149
227,-158.036,-75.6149
228,-150.799,-75.6149
229,-143.561,-75.6149
230,-136.323,-75.6149
231,-129.085,-75.6149
232,-121.847,-75.6149
233,-114.609,-75.6149
234,-107.371,-75.6149
235,-100.134,-75.6149
236,-92.8957,-75.6149
237,-85.6578,-75.6149
238,-78.42,-75.6149
239,-71.1821,-75.6149
240,-63.9443,-75.6149
241,-56.7064,-75.6149
242,-49.4686,-75.6149
243,-42.2307,-75.6149
244,-34.9928,-75.6149
245,-27.755,-75.6149
246,-20.5171,-75.6149
247,-13.2793,-75.6149
248,-6.04141,-75.6149
249,1.19645,-75.6149
250,8.4343,-75.6149
251,15.6722,-75.6149
252,22.91,-75.6149
253,30.1479,-75.6149
254,37.3857,-75.6149
255,44.6236,-75.6149
256,51.8614,-75.6149
257,59.0993,-75.6149
258,66.3372,-75.6149
259,73.575,-75.6149
260,80.8129,-75.6149
261,88.0507,-75.6149
262,95.2886,-75.6149
263,102.526,-75.6149
264,109.764,-75.6149
265,117.002,-75.6149
266,124.24,-75.6149
267,131.478,-75.6149
268,138.716,-75.6149
269,145.954,-75.6149
270,153.191,-75.6149
271,160.429,-75.6149
272,167.667,-75.6149
273,174.905,-75.6149
274,182.143,-75.6149
275,-179.75,-73.8168
276,-173.298,-73.8168
277,-166.847,-73.8168
278,-160.395,-73.8168
279,-153.943,-73.8168
280,-147.491,-73.8168
281,-141.04,-73.8168
282,-134.588,-73.8168
283,-128.136,-73.8168
284,-121.685,-73.8168
285,-115.233,-73.8168
286,-108.781,-73.8168
287,-102.329,-73.8168
288,-95.8777,-73.8168
289,-89.426,-73.8168
290,-82.9743,-73.8168
291,-76.5226,-73.8168
292,-70.0708,-73.8168
293,-63.6191,-73.8168
294,-57.1674,-73.8168
295,-50.7157,-73.8168
296,-44.264,-73.8168
297,-37.8123,-73.8168
298,-31.3606,-73.8168
299,-24.9088,-73.8168
300,-18.4571,-73.8168
301,-12.0054,-73.8168
302,-5.55369,-73.8168
303,0.898025,-73.8168
304,7.34974,-73.8168
305,13.8015,-73.8168
306,20.2532,-73.8168
307,26.7049,-73.8168
308,33.1566,-73.8168
309,39.6083,-73.8168
310,46.06,-73.8168
311,52.5117,-73.8168
312,58.9635,-73.8168
313,65.4152,-73.8168
314,71.8669,-73.8168
315,78.3186,-73.8168
316,84.7703,-73.8168
317,91.222,-73.8168
318,97.6738,-73.8168
319,104.125,-73.8168
320,110.577,-73.8168
321,117.029,-73.8168
322,123.481,-73.8168
323,129.932,-73.8168
324,136.384,-73.8168
325,142.836,-73.8168
326,149.287,-73.8168
327,155.739,-73.8168
328,162.191,-73.8168
329,168.643,-73.8168
330,175.094,-73.8168
331,181.546,-73.8168
332,-179.75,-72.0186
333,-173.925,-72.0186
334,-168.1,-72.0186
335,-162.276,-72.0186
336,-156.451,-72.0186
337,-150.626,-72.0186
338,-144.801,-72.0186
339,-138.976,-72.0186
340,-133.152,-72.0186
341,-127.327,-72.0186
342,-121.502,-72.0186
343,-115.677,-72.0186
344,-109.853,-72.0186
345,-104.028,-72.0186
346,-98.2029,-72.0186
347,-92.3782,-72.0186
348,-86.5534,-72.0186
349,-80.7286,-72.0186
350,-74.9038,-72.0186
351,-69.079,-72.0186
352,-63.2542,-72.0186
353,-57.4294,-72.0186
354,-51.6046,-72.0186
355,-45.7798,-72.0186
356,-39.9551,-72.0186
357,-34.1303,-72.0186
358,-28.3055,-72.0186
359,-22.4807,-72.0186
360,-16.6559,-72.0186
361,-10.8311,-72.0186
362,-5.00631,-72.0186
363,0.818477,-72.0186
364,6.64327,-72.0186
365,12.4681,-72.0186
366,18.2928,-72.0186
367,24.1176,-72.0186
368,29.9424,-72.0186
369,35.7672,-72.0186
370,41.592,-72.0186
371,47.4168,-72.0186
372,53.2416,-72.0186
373,59.0664,-72.0186
374,64.8912,-72.0186
375,70.716,-72.0186
376,76.5407,-72.0186
377,82.3655,-72.0186
378,88.1903,-72.0186
379,94.0151,-72.0186
380,99.8399,-72.0186
381,105.665,-72.0186
382,111.489,-72.0186
383,117.314,-72.0186
384,123.139,-72.0186
385,128.964,-72.0186
386,134.789,-72.0186
387,140.613,-72.0186
388,146.438,-72.0186
389,152.263,-72.0186
390,158.088,-72.0186
391,163.913,-72.0186
392,169.737,-72.0186
393,175.562,-72.0186
394,181.387,-72.0186
395,-179.75,-70.2205
396,-174.436,-70.2205
397,-169.123,-70.2205
398,-163.809,-70.2205
399,-158.495,-70.2205
400,-153.182,-70.2205
401,-147.868,-70.2205
402,-142.554,-70.2205
403,-137.241,-70.2205
404,-131.927,-70.2205
405,-126.613,-70.2205
406,-121.3,-70.2205
407,-115.986,-70.2205
408,-110.672,-70.2205
409,-105.358,-70.2205
410,-100.045,-70.2205
411,-94.7311,-70.2205
412,-89.4174,-70.2205
413,-84.1037,-70.2205
414,-78.79,-70.2205
415,-73.4764,-70.2205
416,-68.1627,-70.2205
417,-62.849,-70.2205
418,-57.5353,-70.2205
419,-52.2216,-70.2205
420,-46.908,-70.2205
421,-41.5943,-70.2205
422,-36.2806,-70.2205
423,-30.9669,-70.2205
424,-25.6532,-70.2205
425,-20.3396,-70.2205
426,-15.0259,-70.2205
427,-9.71219,-70.2205
428,-4.39851,-70.2205
429,0.915176,-70.2205
430,6.22886,-70.2205
431,11.5425,-70.2205
432,16.8562,-70.2205
433,22.1699,-70.2205
434,27.4836,-70.2205
435,32.7973,-70.2205
436,38.1109,-70.2205
437,43.4246,-70.2205
438,48.7383,-70.2205
439,54.052,-70.2205
440,59.3657,-70.2205
441,64.6794,-70.2205
442,69.993,-70.2205
443,75.3067,-70.2205
